ORDER_ID,DATE,TIME,PIZZA,QTY,PRICE,SUB_TOT,ORD_TOT
71,2026-06-03,1780453235,Pepperoni,1,17.50,17.50,59.50
71,2026-06-03,1780453235,Supreme,2,21.00,42.00,59.50
72,2026-06-03,1780453278,Baked Potato,2,24.50,24.50,45.50
72,2026-06-03,1780453278,Meat Lover's,1,21.00,21.00,45.50
73,2026-06-03,1780453591,Pepperoni,1,17.50,17.50,59.50
73,2026-06-03,1780453591,Supreme,2,21.00,42.00,59.50
74,2026-06-03,1780453640,BBQ Chicken,1,21.00,21.00,63.00
74,2026-06-03,1780453640,Baked Potato,1,24.50,24.50,63.00
74,2026-06-03,1780453640,Pepperoni,1,17.50,17.50,63.00
75,2026-06-03,1780453828,Pepperoni,1,17.50,17.50,59.50
75,2026-06-03,1780453828,Supreme,2,21.00,42.00,59.50
76,2026-06-03,1780453869,Baked Potato,1,24.50,24.50,66.50
76,2026-06-03,1780453869,Meat Lover's,2,21.00,42.00,66.50
77,2026-06-03,1780457702,Baked Potato,1,24.50,24.50,63.00
77,2026-06-03,1780457702,Pepperoni,1,17.50,17.50,63.00
77,2026-06-03,1780457702,Supreme,1,21.00,21.00,63.00
78,2026-06-03,1780457741,Baked Potato,1,24.50,24.50,59.50
78,2026-06-03,1780457741,Pepperoni,2,17.50,35.00,59.50
79,2026-06-03,1780460366,Pepperoni,1,17.50,17.50,17.50
80,2026-06-03,1780460463,Supreme,1,21.00,21.00,21.00
81,2026-06-03,1780460543,Pepperoni,1,17.50,17.50,38.50
81,2026-06-03,1780460543,Supreme,1,21.00,21.00,38.50
82,2026-06-03,1780468506,Baked Potato,1,24.50,24.50,84.00
82,2026-06-03,1780468506,Pepperoni,1,17.50,17.50,84.00
82,2026-06-03,1780468506,Supreme,2,21.00,42.00,84.00
83,2026-06-03,1780468526,Meat Lover's,1,21.00,21.00,21.00
84,2026-06-04,1780570234,Pepperoni,1,17.50,17.50,17.50
85,2026-06-04,1780570252,Supreme,1,21.00,21.00,21.00
86,2026-06-04,1780571587,Supreme,1,21.00,21.00,21.00
87,2026-06-04,1780572615,Pepperoni,1,17.50,17.50,17.50
88,2026-06-04,1780572637,Baked Potato,1,24.50,24.50,45.50
88,2026-06-04,1780572637,Supreme,1,21.00,21.00,45.50
89,2026-06-04,1780572656,Deep Dish,2,24.50,49.00,49.00
90,2026-06-04,1780572684,Meat Lover's,3,21.00,63.00,63.00
91,2026-06-04,1780572686,Meat Lover's,3,21.00,63.00,63.00
92,2026-06-04,1780573151,Pepperoni,1,17.50,17.50,59.50
92,2026-06-04,1780573151,Supreme,2,21.00,42.00,59.50
93,2026-06-04,1780573188,Meat Lover's,1,21.00,21.00,21.00
94,2026-06-04,1780576288,Pepperoni,1,17.50,17.50,38.50
94,2026-06-04,1780576288,Supreme,1,21.00,21.00,38.50
95,2026-06-04,1780577852,Baked Potato,2,24.50,49.00,66.50
95,2026-06-04,1780577852,Pepperoni,1,17.50,17.50,66.50
96,2026-06-04,1780578338,Margherita,1,17.50,17.50,56.00
96,2026-06-04,1780578338,Pepperoni,1,17.50,17.50,56.00
96,2026-06-04,1780578338,Vegetarian,1,21.00,21.00,56.00
97,2026-06-05,1780615206,Baked Potato,2,24.50,49.00,91.00
97,2026-06-05,1780615206,Pesto,1,21.00,21.00,91.00
97,2026-06-05,1780615206,White Pizza,1,21.00,21.00,91.00
98,2026-06-05,1780648432,Pepperoni,2,17.50,35.00,56.00
98,2026-06-05,1780648432,Supreme,1,21.00,21.00,56.00
99,2026-06-05,1780648484,Deep Dish,1,24.50,24.50,45.50
99,2026-06-05,1780648484,Supreme,1,21.00,21.00,45.50
100,2026-06-08,1780844832,Supreme,1,21.00,21.00,21.00
